Y,X,ID,Debrisno,County,Town,Vill,Overflowno,Overflow_X,Overflow_Y,Address,Total_Res,Res_Class,Risk,Dbno_old,TR_num
23.753740913804,120.853425759966,917,投縣DF163,南投縣,水里鄉,興隆村,CD01,234854,2627870,無,0,無,低,南投067,0
23.7148050868556,120.84350172422,918,投縣DF256,南投縣,水里鄉,興隆村,BD01,233701,2623616,水里鄉興隆村林朋巷8鄰1之1、2、6號,3,1~4戶,低,投縣M105-21,3
23.8590677563712,120.710972501099,919,投縣DF126,南投縣,名間鄉,仁和村,CD01,220677,2639554,名間鄉仁和村1鄰山腳巷1、27(北玄宮)、27-7、27-8、27-10、27-12、27-16、27-17、27-20、28、28-1、28-2、28-3、28-4、28-5、28-6、29、29-1、29-2、29-3、30、30-1、31、31-1、31-2號等，共25戶,25,5戶以上,高,南投A099,25
23.8795966428779,120.719364085994,920,投縣DF211,南投縣,名間鄉,萬丹村,BD01,221547,2641894,無門牌廢棄木屋1戶,1,1~4戶,低,投縣M98-12,1
23.8040607464963,120.741781733916,921,投縣DF128,南投縣,竹山鎮,中央里,BD01,223755,2633424,竹山鎮中央里1鄰枋寮巷5、6、7、8、8-1、9、11、12號，共8戶,8,5戶以上,中,南投A098,8
23.7196364113761,120.701551037121,922,投縣DF131,南投縣,竹山鎮,秀林里,CD01,219760,2624076,竹山鎮秀林里頂林路399-1(頂林派出所)、403、407、486、500、502、504、506號；光林巷1、1-1、2、3、5~7、9號；光輝巷1、1-2、1-3、2、3、3-5、4、4-1、5、5-1、6~12、18、19、20號,36,5戶以上,高,南投A105,36
23.7335845594782,120.703981544088,923,投縣DF258,南投縣,竹山鎮,秀林里,CD01,219903,2625611,竹山鎮秀林里16鄰中坑路橫巷3號,1,1~4戶,低,投縣M105-13,1
23.7823581877277,120.716422140034,924,投縣DF129,南投縣,竹山鎮,延平里,CD01,221245,2631001,無,0,無,低,南投A097,0
23.7782045814654,120.715795336476,925,投縣DF130,南投縣,竹山鎮,延平里,CD01,221182,2630359,竹山鎮延平里藤湖巷27、34、34-2、34-4、35、36、36-1、36-2、37、41、44、45、48、48-1、50、51、52、53、55、57號,20,5戶以上,中,南投A095,20
23.7795601796682,120.716453713907,925,投縣DF130,南投縣,竹山鎮,延平里,CD01,221182,2630359,竹山鎮延平里藤湖巷27、34、34-2、34-4、35、36、36-1、36-2、37、41、44、45、48、48-1、50、51、52、53、55、57號,20,5戶以上,中,南投A095,20
23.6321785928392,120.653769023101,926,投縣DF259,南投縣,竹山鎮,桶頭里,CD01,214517,2614395,竹山鎮桶頭里3鄰鯉南路384-5、384-6、384-16、407、408號,5,5戶以上,中,投縣M105-10,5
23.6231814554921,120.661201024974,927,投縣DF260,南投縣,竹山鎮,桶頭里,BD01,215487,2613295,竹山鎮桶頭里14鄰小旗巷50號,1,1~4戶,中,投縣M105-9,1
23.6249712946074,120.659686313412,928,投縣DF260,南投縣,竹山鎮,桶頭里,CD01,215340,2613435,竹山鎮桶頭里14鄰小旗巷36、37、54號,3,1~4戶,中,投縣M105-9,3
23.6662247056782,120.673291394572,929,投縣DF132,南投縣,竹山鎮,瑞竹里,CD01,216833,2617748,竹山鎮瑞竹里瑞東巷19、20號(瑞竹國中)，共計2戶,2,1~4戶,中,南投A123,2
23.6609268499649,120.664524321281,930,投縣DF133,南投縣,竹山鎮,瑞竹里,BD01,215911,2617397,竹山鎮瑞竹里鯉南路297、301、301-1、302-1、302-2、303、304、304-1、304-3、304-6、304-7、304-8、304-9、304-15、304-16、304-18、305-1、305-4、305-5、305-10、306號，瑞南巷1、2、3、4、5、7、8、9、9-1、10、12、13、,40,5戶以上,中,南投041,40
23.7839781654489,120.918136381889,931,投縣DF184,南投縣,信義鄉,人和村,BD01,241605,2630832,信義鄉人和村波石巷27、112-2、118、119-2、122-2號、信義鄉人和村9鄰、10鄰及無門牌5戶,18,5戶以上,高,南投A119,18
